Size,Case,Algorithm,Average Time (s),Std Dev (s)
1000,random,Deterministic,0.0011513099889270961,0.000260676717586129
1000,random,Randomized,0.0014847200189251452,0.0002935110978309418
1000,sorted,Deterministic,0.03203493999899365,0.0018006607968268865
1000,sorted,Randomized,0.0009557099896483123,6.883564536533957e-05
1000,reverse,Deterministic,0.0236312200082466,0.0012538772678269655
1000,reverse,Randomized,0.0010529699909966439,0.00010293090237472429
2000,random,Deterministic,0.0017999400093685835,0.00019226200589608772
2000,random,Randomized,0.002220810006838292,0.00032359148699747417
2000,sorted,Deterministic,0.12933698001434096,0.005134330524687556
2000,sorted,Randomized,0.0020031900086905806,7.398387520629536e-05
2000,reverse,Deterministic,0.09183449000120163,0.0024304173314168105
2000,reverse,Randomized,0.002110870002070442,0.00016510315073726986
5000,random,Deterministic,0.004923219996271655,0.00037377780522434233
5000,random,Randomized,0.006031710002571344,0.0003056110679098727
5000,sorted,Deterministic,0.8285855199967045,0.04065618483642039
5000,sorted,Randomized,0.0057802799972705545,0.000625243767045673
5000,reverse,Deterministic,0.5673814800044056,0.007513399204210527
5000,reverse,Randomized,0.005844029987929389,0.0011586974076096155
10000,random,Deterministic,0.01068874000920914,0.00041810966887614897
10000,random,Randomized,0.012815459998091683,0.0003378176944176692
10000,sorted,Deterministic,3.316600029997062,0.044501385496885454
10000,sorted,Randomized,0.012093120004283264,0.0008792478417968439
10000,reverse,Deterministic,2.358807269990211,0.010047030325192738
10000,reverse,Randomized,0.01250183000229299,0.0010835765389843606
